text,subcategory
como solicito la aprobacion del trazo vial de una nueva avenida?,0034
documentos necesarios para elaborar plano de trazo vial,0034
cual es la tasa para aprobacion de trazo vial 2025?,0034
donde presento mi proyecto de trazo vial en el alto?,0034
plazo para que la municipalidad emita resolucion de trazo vial?,0034
se exige estudio topografico para trazo vial?,0034
que formato debe tener el plano del trazo vial?,0034
puedo presentar el plano vial en pdf firmado digitalmente?,0034
resolucion municipal de trazo vial incluye alineamiento?,0034
necesito licencia ambiental para aprobar trazo vial?,0034
como subsanar observaciones al proyecto de trazo vial?,0034
el concejo municipal debe aprobar el trazo vial?,0034
se requiere consulta vecinal para nuevo trazo vial?,0034
plazo de vigencia de la resolucion de trazo vial?,0034
trazo vial afecta a predios privados? como se compensa?,0034
que autoridad firma la resolucion de trazo vial?,0034
se puede fraccionar la presentacion del proyecto?,0034
checklist 2025 para tramitacion de trazo vial?,0034
como presento memoria descriptiva del trazo?,0034
la resolucion de trazo vial se publica en la gaceta?,0034
que escalas de plano acepta la direccion de vialidad?,0034
trazo vial provisional es posible?,0034
necesito estudio de transito para aprobar trazo vial?,0034
cuanto tiempo tarda la inspeccion de campo del trazo vial?,0034
tramite de trazo vial puede ser gestionado por consultora?,0034
existe tramite expres para trazo vial menor a 200 m?,0034
se pagan timbres municipales para resolucion de trazo?,0034
trazo vial debe respetar anchos minimos de via?,0034
como rectifico errores en la resolucion de trazo vial?,0034
que pasa si la zona no cuenta con planimetria aprobada?,0034
se necesita georreferenciacion utm del eje vial?,0034
trazo vial incluye aprobacion de radios de giro?,0034
puedo solicitar modificacion de un trazo vial ya aprobado?,0034
resolucion de trazo vial caduca si no ejecuto obra?,0034
como consultar en linea estado de mi tramite de trazo vial?,0034
que sucede si mi proyecto invade area verde?,0034
la municipalidad revisa drenaje pluvial en el trazo?,0034
trazo vial para ciclovia sigue el mismo proceso?,0034
se exige estudio de impacto social para trazo vial?,0034
cuantas copias de plano debo entregar?,0034
trazo vial requiere firma de topografo colegiado?,0034
tiempo maximo para responder observaciones tecnicas?,0034
se puede pagar la tasa por metro lineal de via?,0034
trazo vial afecta numeracion domiciliaria existente?,0034
como acreditar financiamiento para obra vial en el tramite?,0034
la resolucion autoriza expropiaciones necesarias?,0034
puedo anexar mi trazo vial a poa distrital?,0034
trazo vial de urbanizacion privada necesita aprobacion?,0034
se admite plano en autocad dwg para revision?,0034
que pasa si la resolucion se extravia antes de obra?,0034
trazo vial incluye diseno de rotondas y glorietas?,0034
